	Vector time	sun.ele.GFS_168
513	20.08.2022 08:00:00	25,1763852
514	20.08.2022 08:15:00	27,5907179
515	20.08.2022 08:30:00	29,9752072
516	20.08.2022 08:45:00	32,3214065
517	20.08.2022 09:00:00	34,6199859
518	20.08.2022 09:15:00	36,8605735
519	20.08.2022 09:30:00	39,0315935
520	20.08.2022 09:45:00	41,1201075
521	20.08.2022 10:00:00	43,1116804
522	20.08.2022 10:15:00	44,9902932
523	20.08.2022 10:30:00	46,7383444
524	20.08.2022 10:45:00	48,3367863
525	20.08.2022 11:00:00	49,7654565
526	20.08.2022 11:15:00	51,0036584
527	20.08.2022 11:30:00	52,031028
528	20.08.2022 11:45:00	52,8286741
529	20.08.2022 12:00:00	53,3805062
530	20.08.2022 12:15:00	53,6745804
531	20.08.2022 12:30:00	53,7042313
532	20.08.2022 12:45:00	53,4687525
533	20.08.2022 13:00:00	52,9734703
534	20.08.2022 13:15:00	52,2291918
535	20.08.2022 13:30:00	51,2511573
536	20.08.2022 13:45:00	50,0577213
537	20.08.2022 14:00:00	48,6690028
538	20.08.2022 14:15:00	47,105692
539	20.08.2022 14:30:00	45,3881178
540	20.08.2022 14:45:00	43,5356037
541	20.08.2022 15:00:00	41,5660845
542	20.08.2022 15:15:00	39,4959297
543	20.08.2022 15:30:00	37,3399166
544	20.08.2022 15:45:00	35,1113007
545	20.08.2022 16:00:00	32,8219416
546	20.08.2022 16:15:00	30,4824577
547	20.08.2022 16:30:00	28,1023883
548	20.08.2022 16:45:00	25,6903538
549	20.08.2022 17:00:00	23,2542056
550	20.08.2022 17:15:00	20,8011642
551	20.08.2022 17:30:00	18,337944
552	20.08.2022 17:45:00	15,8708657
553	20.08.2022 18:00:00	13,4059576
554	20.08.2022 18:15:00	10,9490457
555	20.08.2022 18:30:00	8,5058365
556	20.08.2022 18:45:00	6,0819917
557	20.08.2022 19:00:00	3,6831966
558	20.08.2022 19:15:00	1,3152231
559	20.08.2022 19:30:00	-1,0160124
560	20.08.2022 19:45:00	-3,3043955
561	20.08.2022 20:00:00	-5,5435667
562	20.08.2022 20:15:00	-7,7268789
563	20.08.2022 20:30:00	-9,8473632
564	20.08.2022 20:45:00	-11,8977034
565	20.08.2022 21:00:00	-13,870222
566	20.08.2022 21:15:00	-15,7568814
567	20.08.2022 21:30:00	-17,5493025
568	20.08.2022 21:45:00	-19,2388063
569	20.08.2022 22:00:00	-20,8164809
570	20.08.2022 22:15:00	-22,2732787
571	20.08.2022 22:30:00	-23,6001448
572	20.08.2022 22:45:00	-24,7881796
573	20.08.2022 23:00:00	-25,8288299
574	20.08.2022 23:15:00	-26,7141069
575	20.08.2022 23:30:00	-27,4368186
576	20.08.2022 23:45:00	-27,9908048
577	21.08.2022 00:00:00	-28,371158
578	21.08.2022 00:15:00	-28,5744131
579	21.08.2022 00:30:00	-28,5986879
580	21.08.2022 00:45:00	-28,4437626
581	21.08.2022 01:00:00	-28,1110895
582	21.08.2022 01:15:00	-27,6037313
583	21.08.2022 01:30:00	-26,9262361
584	21.08.2022 01:45:00	-26,0844592
585	21.08.2022 02:00:00	-25,0853486
586	21.08.2022 02:15:00	-23,9367126
587	21.08.2022 02:30:00	-22,6469847
588	21.08.2022 02:45:00	-21,2250012
589	21.08.2022 03:00:00	-19,6798024
590	21.08.2022 03:15:00	-18,0204617
591	21.08.2022 03:30:00	-16,2559485
592	21.08.2022 03:45:00	-14,3950229
593	21.08.2022 04:00:00	-12,446161
594	21.08.2022 04:15:00	-10,4175074
595	21.08.2022 04:30:00	-8,3168503
596	21.08.2022 04:45:00	-6,1516172
597	21.08.2022 05:00:00	-3,9288845
598	21.08.2022 05:15:00	-1,6554009
599	21.08.2022 05:30:00	0,6623802
600	21.08.2022 05:45:00	3,0182606
601	21.08.2022 06:00:00	5,4062502
602	21.08.2022 06:15:00	7,8205155
603	21.08.2022 06:30:00	10,255322
604	21.08.2022 06:45:00	12,7049727
605	21.08.2022 07:00:00	15,1637404
606	21.08.2022 07:15:00	17,6257947
607	21.08.2022 07:30:00	20,0851206
608	21.08.2022 07:45:00	22,535431
609	21.08.2022 08:00:00	24,9700672
610	21.08.2022 08:15:00	27,3818905
611	21.08.2022 08:30:00	29,7631608
612	21.08.2022 08:45:00	32,1054027
613	21.08.2022 09:00:00	34,3992601
614	21.08.2022 09:15:00	36,6343411
615	21.08.2022 09:30:00	38,7990594
616	21.08.2022 09:45:00	40,8804823
617	21.08.2022 10:00:00	42,8642028
618	21.08.2022 10:15:00	44,7342623
619	21.08.2022 10:30:00	46,4731609
620	21.08.2022 10:45:00	48,062004
621	21.08.2022 11:00:00	49,4808406
622	21.08.2022 11:15:00	50,7092465
623	21.08.2022 11:30:00	51,7271828
624	21.08.2022 11:45:00	52,5161166
625	21.08.2022 12:00:00	53,0603162
626	21.08.2022 12:15:00	53,3481549
627	21.08.2022 12:30:00	53,3731991
628	21.08.2022 12:45:00	53,1348571
629	21.08.2022 13:00:00	52,6384387
630	21.08.2022 13:15:00	51,8946145
631	21.08.2022 13:30:00	50,9183965
632	21.08.2022 13:45:00	49,7278579
633	21.08.2022 14:00:00	48,3428212
634	21.08.2022 14:15:00	46,7836943
635	21.08.2022 14:30:00	45,070558
636	21.08.2022 14:45:00	43,2225304
637	21.08.2022 15:00:00	41,2573845
638	21.08.2022 15:15:00	39,1913689
639	21.08.2022 15:30:00	37,0391749
640	21.08.2022 15:45:00	34,8139994
641	21.08.2022 16:00:00	32,5276657
642	21.08.2022 16:15:00	30,190772
