	Vector time	gfs.168.107.total_cloud.comb
602	13.09.2022 06:00:00	99,700377
603	13.09.2022 07:00:00	99,384405
604	13.09.2022 08:00:00	99,946503
605	13.09.2022 09:00:00	78,9318
606	13.09.2022 10:00:00	95,760515
607	13.09.2022 11:00:00	100
608	13.09.2022 12:00:00	86,993256
609	13.09.2022 13:00:00	72,289105
610	13.09.2022 14:00:00	93,153626
611	13.09.2022 15:00:00	100,052837
612	13.09.2022 16:00:00	65,365799
613	13.09.2022 17:00:00	100
614	13.09.2022 20:00:00	99,583662
615	13.09.2022 21:00:00	99,698855
616	13.09.2022 22:00:00	67,273065
617	13.09.2022 23:00:00	62,846434
618	14.09.2022 00:00:00	38,841099
619	14.09.2022 01:00:00	79,260666
620	14.09.2022 02:00:00	88,541372
621	14.09.2022 03:00:00	54,309905
622	14.09.2022 04:00:00	101,25888
623	14.09.2022 05:00:00	100
624	14.09.2022 06:00:00	99,369369
625	14.09.2022 07:00:00	96,627008
626	14.09.2022 08:00:00	98,753064
627	14.09.2022 09:00:00	90,13365
628	14.09.2022 10:00:00	100
629	14.09.2022 11:00:00	100,00487
630	14.09.2022 12:00:00	100
631	14.09.2022 13:00:00	99,892917
632	14.09.2022 14:00:00	89,627427
633	14.09.2022 15:00:00	98,229026
634	14.09.2022 16:00:00	100
635	14.09.2022 22:00:00	100,007807
636	14.09.2022 23:00:00	100
637	15.09.2022 01:00:00	99,705233
638	15.09.2022 02:00:00	99,988532
639	15.09.2022 03:00:00	102,296176
640	15.09.2022 04:00:00	99,949188
641	15.09.2022 05:00:00	100,078411
642	15.09.2022 06:00:00	99,98308
643	15.09.2022 07:00:00	100
644	15.09.2022 08:00:00	100,018999
645	15.09.2022 09:00:00	100,143923
646	15.09.2022 10:00:00	98,527284
647	15.09.2022 11:00:00	100
648	15.09.2022 12:00:00	100,160652
649	15.09.2022 13:00:00	98,889442
650	15.09.2022 14:00:00	95,23597
651	15.09.2022 15:00:00	100
652	15.09.2022 16:00:00	99,973971
653	15.09.2022 17:00:00	100
654	16.09.2022 00:00:00	
